A,B,mwu,mwu<0.05,vda_estimate,vda_magnitude
H,H-ADS,0.4652,False,0.5444,negligible
H,HSI,0.4234,False,0.5487,negligible
H,SPY,0.9222,False,0.4939,negligible
H,SPY-H,0.2691,False,0.4329,negligible
H,W,0.0625,False,0.3871,small
H,Wp,0.9720,False,0.4976,negligible
H-ADS,HSI,0.9098,False,0.5071,negligible
H-ADS,SPY,0.4464,False,0.4537,negligible
H-ADS,SPY-H,0.0743,False,0.3918,small
H-ADS,W,0.0245,True,0.3637,small
H-ADS,Wp,0.4188,False,0.4509,negligible
HSI,SPY,0.4100,False,0.4499,negligible
HSI,SPY-H,0.0743,False,0.3918,small
HSI,W,0.0208,True,0.3599,small
HSI,Wp,0.3880,False,0.4475,negligible
SPY,SPY-H,0.3838,False,0.4471,negligible
SPY,W,0.1120,False,0.4036,small
SPY,Wp,0.8975,False,0.4920,negligible
SPY-H,W,0.4325,False,0.4523,negligible
SPY-H,Wp,0.3838,False,0.5529,negligible
W,Wp,0.1358,False,0.5905,small
