2022-01-20 13:18:14 INFO Benchmarking |ClosingStrategy: CloseFirst
2022-01-20 13:18:14 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2022-01-20 13:18:14 INFO Benchmarking |SUL name: pion_ecdhe_cert_none.dot
2022-01-20 13:18:14 INFO Benchmarking |SUL dir: /home/bharat/research/survey_2022/cttlearn/experiments/../data/automata_wiki/benchmarks/DTLS/pion_ecdhe_cert_none.dot
2022-01-20 13:18:14 INFO Benchmarking |Seed: 1642681094043
2022-01-20 13:18:14 INFO Benchmarking |Cache: Y
2022-01-20 13:18:14 INFO Benchmarking |EquivalenceOracle: LearnlibEQOracle(w,0)
2022-01-20 13:18:14 INFO Benchmarking |Method: L*M
2022-01-20 13:18:14 INFO EQWrapperHypSize |EQStats:{'Iter':1,'HypSize':5,'CESize':0}
2022-01-20 13:18:14 INFO Benchmarking |Rounds: 1
2022-01-20 13:18:14 INFO Benchmarking |MQ [Resets]: 510
2022-01-20 13:18:14 INFO Benchmarking |MQ [Symbols]: 1410
2022-01-20 13:18:14 INFO Benchmarking |EQ [Resets]: 100
2022-01-20 13:18:14 INFO Benchmarking |EQ [Symbols]: 280
2022-01-20 13:18:14 INFO SimpleProfiler |Learning [ms]: 24
2022-01-20 13:18:14 INFO SimpleProfiler |Searching for counterexample [ms]: 46
2022-01-20 13:18:14 INFO Benchmarking |Qsize: 66
2022-01-20 13:18:14 INFO Benchmarking |Isize: 10
2022-01-20 13:18:14 INFO Benchmarking |Equivalent: NOK
2022-01-20 13:18:14 INFO Benchmarking |Info: N/A
