2022-01-20 13:18:58 INFO Benchmarking |ClosingStrategy: CloseFirst
2022-01-20 13:18:58 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2022-01-20 13:18:58 INFO Benchmarking |SUL name: Volksbank_learnresult_MAESTRO_fix.dot
2022-01-20 13:18:58 INFO Benchmarking |SUL dir: /home/bharat/research/survey_2022/cttlearn/experiments/../data/automata_wiki/benchmarks/Bankcard/Volksbank_learnresult_MAESTRO_fix.dot
2022-01-20 13:18:58 INFO Benchmarking |Seed: 1642681138288
2022-01-20 13:18:58 INFO Benchmarking |Cache: Y
2022-01-20 13:18:58 INFO Benchmarking |EquivalenceOracle: LearnlibEQOracle(wp,1)
2022-01-20 13:18:58 INFO Benchmarking |Method: L*M
2022-01-20 13:18:58 INFO EQWrapperHypSize |EQStats:{'Iter':1,'HypSize':7,'CESize':0}
2022-01-20 13:18:58 INFO Benchmarking |Rounds: 1
2022-01-20 13:18:58 INFO Benchmarking |MQ [Resets]: 1386
2022-01-20 13:18:58 INFO Benchmarking |MQ [Symbols]: 6090
2022-01-20 13:18:58 INFO Benchmarking |EQ [Resets]: 2678
2022-01-20 13:18:58 INFO Benchmarking |EQ [Symbols]: 14695
2022-01-20 13:18:58 INFO SimpleProfiler |Learning [ms]: 34
2022-01-20 13:18:58 INFO SimpleProfiler |Searching for counterexample [ms]: 138
2022-01-20 13:18:58 INFO Benchmarking |Qsize: 7
2022-01-20 13:18:58 INFO Benchmarking |Isize: 14
2022-01-20 13:18:58 INFO Benchmarking |Equivalent: OK
2022-01-20 13:18:58 INFO Benchmarking |Info: N/A
