2022-01-20 13:18:41 INFO Benchmarking |ClosingStrategy: CloseFirst
2022-01-20 13:18:41 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2022-01-20 13:18:41 INFO Benchmarking |SUL name: TCP_Windows8_Client.dot
2022-01-20 13:18:41 INFO Benchmarking |SUL dir: /home/bharat/research/survey_2022/cttlearn/experiments/../data/automata_wiki/benchmarks/TCP/TCP_Windows8_Client.dot
2022-01-20 13:18:41 INFO Benchmarking |Seed: 1642681121391
2022-01-20 13:18:41 INFO Benchmarking |Cache: Y
2022-01-20 13:18:41 INFO SouchaCTT |EquivalenceOracle: SouchaCTT: {Technique=spy;ExtraStates=0;}
2022-01-20 13:18:41 INFO Benchmarking |EquivalenceOracle: SouchaCTT(spy,0)
2022-01-20 13:18:41 INFO Benchmarking |Method: L*M
2022-01-20 13:18:41 INFO EQWrapperHypSize |EQStats:{'Iter':1,'HypSize':11,'CESize':0}
2022-01-20 13:18:41 INFO Benchmarking |Rounds: 1
2022-01-20 13:18:41 INFO Benchmarking |MQ [Resets]: 1110
2022-01-20 13:18:41 INFO Benchmarking |MQ [Symbols]: 4710
2022-01-20 13:18:41 INFO Benchmarking |EQ [Resets]: 159
2022-01-20 13:18:41 INFO Benchmarking |EQ [Symbols]: 1002
2022-01-20 13:18:41 INFO SimpleProfiler |Learning [ms]: 32
2022-01-20 13:18:41 INFO SimpleProfiler |Searching for counterexample [ms]: 41
2022-01-20 13:18:41 INFO Benchmarking |Qsize: 13
2022-01-20 13:18:41 INFO Benchmarking |Isize: 10
2022-01-20 13:18:41 INFO Benchmarking |Equivalent: NOK
2022-01-20 13:18:41 INFO Benchmarking |Info: N/A
