2022-01-20 13:20:06 INFO Benchmarking |ClosingStrategy: CloseFirst
2022-01-20 13:20:06 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2022-01-20 13:20:06 INFO Benchmarking |SUL name: scandium_latest_ecdhe_cert_none.dot
2022-01-20 13:20:06 INFO Benchmarking |SUL dir: /home/bharat/research/survey_2022/cttlearn/experiments/../data/automata_wiki/benchmarks/DTLS/scandium_latest_ecdhe_cert_none.dot
2022-01-20 13:20:06 INFO Benchmarking |Seed: 1642681206093
2022-01-20 13:20:06 INFO Benchmarking |Cache: Y
2022-01-20 13:20:06 INFO Benchmarking |EquivalenceOracle: LearnlibEQOracle(w,2)
2022-01-20 13:20:06 INFO Benchmarking |Method: L*M
2022-01-20 13:20:06 INFO EQWrapperHypSize |EQStats:{'Iter':1,'HypSize':10,'CESize':6}
2022-01-20 13:20:07 INFO EQWrapperHypSize |EQStats:{'Iter':2,'HypSize':13,'CESize':0}
2022-01-20 13:20:07 INFO Benchmarking |Rounds: 2
2022-01-20 13:20:07 INFO Benchmarking |MQ [Resets]: 1428
2022-01-20 13:20:07 INFO Benchmarking |MQ [Symbols]: 7772
2022-01-20 13:20:07 INFO Benchmarking |EQ [Resets]: 90460
2022-01-20 13:20:07 INFO Benchmarking |EQ [Symbols]: 677720
2022-01-20 13:20:07 INFO SimpleProfiler |Learning [ms]: 101
2022-01-20 13:20:07 INFO SimpleProfiler |Searching for counterexample [ms]: 565
2022-01-20 13:20:07 INFO Benchmarking |Qsize: 13
2022-01-20 13:20:07 INFO Benchmarking |Isize: 10
2022-01-20 13:20:07 INFO Benchmarking |Equivalent: OK
2022-01-20 13:20:07 INFO Benchmarking |Info: N/A
