2022-01-20 13:31:21 INFO Benchmarking |ClosingStrategy: CloseFirst
2022-01-20 13:31:21 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2022-01-20 13:31:21 INFO Benchmarking |SUL name: QUICprotocolwithout0RTT.dot
2022-01-20 13:31:21 INFO Benchmarking |SUL dir: /home/bharat/research/survey_2022/cttlearn/experiments/../data/automata_wiki/benchmarks/QUICprotocol/QUICprotocolwithout0RTT.dot
2022-01-20 13:31:21 INFO Benchmarking |Seed: 1642681881596
2022-01-20 13:31:21 INFO Benchmarking |Cache: Y
2022-01-20 13:31:21 INFO SouchaCTT |EquivalenceOracle: SouchaCTT: {Technique=spy;ExtraStates=2;}
2022-01-20 13:31:21 INFO Benchmarking |EquivalenceOracle: SouchaCTT(spy,2)
2022-01-20 13:31:21 INFO Benchmarking |Method: L*M
2022-01-20 13:31:21 INFO EQWrapperHypSize |EQStats:{'Iter':1,'HypSize':5,'CESize':0}
2022-01-20 13:31:21 INFO Benchmarking |Rounds: 1
2022-01-20 13:31:21 INFO Benchmarking |MQ [Resets]: 84
2022-01-20 13:31:21 INFO Benchmarking |MQ [Symbols]: 244
2022-01-20 13:31:21 INFO Benchmarking |EQ [Resets]: 257
2022-01-20 13:31:21 INFO Benchmarking |EQ [Symbols]: 1847
2022-01-20 13:31:21 INFO SimpleProfiler |Learning [ms]: 7
2022-01-20 13:31:21 INFO SimpleProfiler |Searching for counterexample [ms]: 51
2022-01-20 13:31:21 INFO Benchmarking |Qsize: 5
2022-01-20 13:31:21 INFO Benchmarking |Isize: 4
2022-01-20 13:31:21 INFO Benchmarking |Equivalent: OK
2022-01-20 13:31:21 INFO Benchmarking |Info: N/A
