2022-01-20 13:18:42 INFO Benchmarking |ClosingStrategy: CloseFirst
2022-01-20 13:18:42 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2022-01-20 13:18:42 INFO Benchmarking |SUL name: GnuTLS_3.3.8_client_regular.dot
2022-01-20 13:18:42 INFO Benchmarking |SUL dir: /home/bharat/research/survey_2022/cttlearn/experiments/../data/automata_wiki/benchmarks/TLS/GnuTLS_3.3.8_client_regular.dot
2022-01-20 13:18:42 INFO Benchmarking |Seed: 1642681121918
2022-01-20 13:18:42 INFO Benchmarking |Cache: Y
2022-01-20 13:18:42 INFO SouchaCTT |EquivalenceOracle: SouchaCTT: {Technique=spy;ExtraStates=0;}
2022-01-20 13:18:42 INFO Benchmarking |EquivalenceOracle: SouchaCTT(spy,0)
2022-01-20 13:18:42 INFO Benchmarking |Method: L*M
2022-01-20 13:18:42 INFO EQWrapperHypSize |EQStats:{'Iter':1,'HypSize':7,'CESize':7}
2022-01-20 13:18:42 INFO EQWrapperHypSize |EQStats:{'Iter':2,'HypSize':8,'CESize':0}
2022-01-20 13:18:42 INFO Benchmarking |Rounds: 2
2022-01-20 13:18:42 INFO Benchmarking |MQ [Resets]: 582
2022-01-20 13:18:42 INFO Benchmarking |MQ [Symbols]: 2716
2022-01-20 13:18:42 INFO Benchmarking |EQ [Resets]: 70
2022-01-20 13:18:42 INFO Benchmarking |EQ [Symbols]: 366
2022-01-20 13:18:42 INFO SimpleProfiler |Learning [ms]: 39
2022-01-20 13:18:42 INFO SimpleProfiler |Searching for counterexample [ms]: 43
2022-01-20 13:18:42 INFO Benchmarking |Qsize: 11
2022-01-20 13:18:42 INFO Benchmarking |Isize: 8
2022-01-20 13:18:42 INFO Benchmarking |Equivalent: NOK
2022-01-20 13:18:42 INFO Benchmarking |Info: N/A
