2022-01-20 13:18:39 INFO Benchmarking |ClosingStrategy: CloseFirst
2022-01-20 13:18:39 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2022-01-20 13:18:39 INFO Benchmarking |SUL name: hbmqtt__single_client.dot
2022-01-20 13:18:39 INFO Benchmarking |SUL dir: /home/bharat/research/survey_2022/cttlearn/experiments/../data/automata_wiki/benchmarks/MQTT/hbmqtt__single_client.dot
2022-01-20 13:18:39 INFO Benchmarking |Seed: 1642681119266
2022-01-20 13:18:39 INFO Benchmarking |Cache: Y
2022-01-20 13:18:39 INFO SouchaCTT |EquivalenceOracle: SouchaCTT: {Technique=spy;ExtraStates=0;}
2022-01-20 13:18:39 INFO Benchmarking |EquivalenceOracle: SouchaCTT(spy,0)
2022-01-20 13:18:39 INFO Benchmarking |Method: L*M
2022-01-20 13:18:39 INFO EQWrapperHypSize |EQStats:{'Iter':1,'HypSize':10,'CESize':0}
2022-01-20 13:18:39 INFO Benchmarking |Rounds: 1
2022-01-20 13:18:39 INFO Benchmarking |MQ [Resets]: 1221
2022-01-20 13:18:39 INFO Benchmarking |MQ [Symbols]: 5093
2022-01-20 13:18:39 INFO Benchmarking |EQ [Resets]: 103
2022-01-20 13:18:39 INFO Benchmarking |EQ [Symbols]: 684
2022-01-20 13:18:39 INFO SimpleProfiler |Learning [ms]: 24
2022-01-20 13:18:39 INFO SimpleProfiler |Searching for counterexample [ms]: 36
2022-01-20 13:18:39 INFO Benchmarking |Qsize: 10
2022-01-20 13:18:39 INFO Benchmarking |Isize: 11
2022-01-20 13:18:39 INFO Benchmarking |Equivalent: OK
2022-01-20 13:18:39 INFO Benchmarking |Info: N/A
