2022-01-20 13:18:17 INFO Benchmarking |ClosingStrategy: CloseFirst
2022-01-20 13:18:17 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2022-01-20 13:18:17 INFO Benchmarking |SUL name: TCP_FreeBSD_Server.dot
2022-01-20 13:18:17 INFO Benchmarking |SUL dir: /home/bharat/research/survey_2022/cttlearn/experiments/../data/automata_wiki/benchmarks/TCP/TCP_FreeBSD_Server.dot
2022-01-20 13:18:17 INFO Benchmarking |Seed: 1642681097474
2022-01-20 13:18:17 INFO Benchmarking |Cache: Y
2022-01-20 13:18:17 INFO Benchmarking |EquivalenceOracle: LearnlibEQOracle(w,0)
2022-01-20 13:18:17 INFO Benchmarking |Method: L*M
2022-01-20 13:18:17 INFO EQWrapperHypSize |EQStats:{'Iter':1,'HypSize':9,'CESize':0}
2022-01-20 13:18:17 INFO Benchmarking |Rounds: 1
2022-01-20 13:18:17 INFO Benchmarking |MQ [Resets]: 1534
2022-01-20 13:18:17 INFO Benchmarking |MQ [Symbols]: 7111
2022-01-20 13:18:17 INFO Benchmarking |EQ [Resets]: 351
2022-01-20 13:18:17 INFO Benchmarking |EQ [Symbols]: 1638
2022-01-20 13:18:17 INFO SimpleProfiler |Learning [ms]: 61
2022-01-20 13:18:17 INFO SimpleProfiler |Searching for counterexample [ms]: 58
2022-01-20 13:18:17 INFO Benchmarking |Qsize: 55
2022-01-20 13:18:17 INFO Benchmarking |Isize: 13
2022-01-20 13:18:17 INFO Benchmarking |Equivalent: NOK
2022-01-20 13:18:17 INFO Benchmarking |Info: N/A
