2022-01-20 13:19:52 INFO Benchmarking |ClosingStrategy: CloseFirst
2022-01-20 13:19:52 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2022-01-20 13:19:52 INFO Benchmarking |SUL name: ASN_learnresult_SecureCode_Aut_fix.dot
2022-01-20 13:19:52 INFO Benchmarking |SUL dir: /home/bharat/research/survey_2022/cttlearn/experiments/../data/automata_wiki/benchmarks/Bankcard/ASN_learnresult_SecureCode_Aut_fix.dot
2022-01-20 13:19:52 INFO Benchmarking |Seed: 1642681192544
2022-01-20 13:19:52 INFO Benchmarking |Cache: Y
2022-01-20 13:19:52 INFO Benchmarking |EquivalenceOracle: LearnlibEQOracle(w,2)
2022-01-20 13:19:52 INFO Benchmarking |Method: L*M
2022-01-20 13:19:53 INFO EQWrapperHypSize |EQStats:{'Iter':1,'HypSize':4,'CESize':0}
2022-01-20 13:19:53 INFO Benchmarking |Rounds: 1
2022-01-20 13:19:53 INFO Benchmarking |MQ [Resets]: 798
2022-01-20 13:19:53 INFO Benchmarking |MQ [Symbols]: 2758
2022-01-20 13:19:53 INFO Benchmarking |EQ [Resets]: 22372
2022-01-20 13:19:53 INFO Benchmarking |EQ [Symbols]: 121968
2022-01-20 13:19:53 INFO SimpleProfiler |Learning [ms]: 26
2022-01-20 13:19:53 INFO SimpleProfiler |Searching for counterexample [ms]: 206
2022-01-20 13:19:53 INFO Benchmarking |Qsize: 4
2022-01-20 13:19:53 INFO Benchmarking |Isize: 14
2022-01-20 13:19:53 INFO Benchmarking |Equivalent: OK
2022-01-20 13:19:53 INFO Benchmarking |Info: N/A
